"Notes"	"State"	"State Code"	"Autopsy"	"Autopsy Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"No"	"N"	486709	Not Applicable	Not Applicable
	"Alabama"	"01"	"Yes"	"Y"	38176	Not Applicable	Not Applicable
	"Alabama"	"01"	"Unknown"	"U"	335944	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"			860829	Not Applicable	Not Applicable
	"Alaska"	"02"	"No"	"N"	45118	Not Applicable	Not Applicable
	"Alaska"	"02"	"Yes"	"Y"	6029	Not Applicable	Not Applicable
	"Alaska"	"02"	"Unknown"	"U"	12231	Not Applicable	Not Applicable
"Total"	"Alaska"	"02"			63378	Not Applicable	Not Applicable
	"Arizona"	"04"	"No"	"N"	606824	Not Applicable	Not Applicable
	"Arizona"	"04"	"Yes"	"Y"	65711	Not Applicable	Not Applicable
	"Arizona"	"04"	"Unknown"	"U"	165572	Not Applicable	Not Applicable
"Total"	"Arizona"	"04"			838107	Not Applicable	Not Applicable
	"Arkansas"	"05"	"No"	"N"	380316	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Yes"	"Y"	19274	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Unknown"	"U"	123375	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"			522965	Not Applicable	Not Applicable
	"California"	"06"	"No"	"N"	3048340	Not Applicable	Not Applicable
	"California"	"06"	"Yes"	"Y"	326157	Not Applicable	Not Applicable
	"California"	"06"	"Unknown"	"U"	932566	Not Applicable	Not Applicable
"Total"	"California"	"06"			4307063	Not Applicable	Not Applicable
	"Colorado"	"08"	"No"	"N"	388730	Not Applicable	Not Applicable
	"Colorado"	"08"	"Yes"	"Y"	59328	Not Applicable	Not Applicable
	"Colorado"	"08"	"Unknown"	"U"	113240	Not Applicable	Not Applicable
"Total"	"Colorado"	"08"			561298	Not Applicable	Not Applicable
	"Connecticut"	"09"	"No"	"N"	363847	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Yes"	"Y"	28459	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Unknown"	"U"	139020	Not Applicable	Not Applicable
"Total"	"Connecticut"	"09"			531326	Not Applicable	Not Applicable
	"Delaware"	"10"	"No"	"N"	95283	Not Applicable	Not Applicable
	"Delaware"	"10"	"Yes"	"Y"	8565	Not Applicable	Not Applicable
	"Delaware"	"10"	"Unknown"	"U"	32147	Not Applicable	Not Applicable
"Total"	"Delaware"	"10"			135995	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"No"	"N"	56074	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Yes"	"Y"	12959	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"Unknown"	"U"	25123	Not Applicable	Not Applicable
"Total"	"District of Columbia"	"11"			94156	Not Applicable	Not Applicable
	"Florida"	"12"	"No"	"N"	1921971	Not Applicable	Not Applicable
	"Florida"	"12"	"Yes"	"Y"	199929	Not Applicable	Not Applicable
	"Florida"	"12"	"Unknown"	"U"	1009223	Not Applicable	Not Applicable
"Total"	"Florida"	"12"			3131123	Not Applicable	Not Applicable
	"Georgia"	"13"	"No"	"N"	893933	Not Applicable	Not Applicable
